2/8/2019,1.245,1.2702,1.2473,1.2245,1.2194,1.2144,1.2158,1.2171,1.2185,1.2198,1.2318,1.2438,1.2559,1.268,1.2769,1.2859,1.2949,1.304,1.3131,1.3223
2/11/2019,1.26,1.2751,1.2573,1.2396,1.2371,1.2346,1.2346,1.2347,1.2347,1.2347,1.2467,1.2588,1.2708,1.2829,1.291,1.2991,1.3072,1.3154,1.3236,1.3318
2/12/2019,1.25,1.2752,1.2624,1.2497,1.2447,1.2396,1.2409,1.2423,1.2436,1.2449,1.2569,1.2689,1.281,1.2931,1.3021,1.311,1.3201,1.3292,1.3383,1.3476
2/13/2019,1.26,1.2751,1.27,1.2649,1.2624,1.2598,1.2611,1.2625,1.2638,1.2651,1.2757,1.2864,1.2971,1.3079,1.3169,1.3259,1.335,1.3441,1.3532,1.3625
2/14/2019,1.26,1.265,1.2574,1.2498,1.2447,1.2396,1.2397,1.2397,1.2397,1.2398,1.2504,1.2611,1.2718,1.2826,1.2916,1.3006,1.3097,1.3188,1.3279,1.3371
2/15/2019,1.25,1.2752,1.2675,1.2599,1.2548,1.2496,1.2484,1.2471,1.2459,1.2446,1.2553,1.266,1.2767,1.2875,1.2956,1.3037,1.3118,1.32,1.3282,1.3365
2/19/2019,1.265,1.27,1.2599,1.2497,1.2421,1.2344,1.2345,1.2346,1.2346,1.2347,1.2453,1.256,1.2668,1.2775,1.2865,1.2955,1.3046,1.3137,1.3228,1.3321
2/20/2019,1.26,1.2701,1.2599,1.2497,1.2421,1.2344,1.2345,1.2346,1.2346,1.2347,1.2453,1.256,1.2668,1.2775,1.2865,1.2955,1.3046,1.3137,1.3228,1.3321
2/21/2019,1.26,1.2751,1.27,1.2649,1.2547,1.2444,1.2471,1.2498,1.2524,1.2551,1.2657,1.2764,1.2871,1.2979,1.3068,1.3158,1.3249,1.334,1.3432,1.3524
2/22/2019,1.255,1.2751,1.2574,1.2396,1.2345,1.2295,1.2308,1.2322,1.2335,1.2349,1.2455,1.2562,1.2669,1.2777,1.2867,1.2956,1.3047,1.3138,1.3229,1.3322
2/25/2019,1.26,1.2801,1.2674,1.2547,1.2471,1.2394,1.2395,1.2396,1.2396,1.2396,1.2517,1.2637,1.2758,1.2879,1.2969,1.3058,1.3149,1.324,1.3331,1.3424
2/26/2019,1.26,1.2751,1.2573,1.2396,1.2294,1.2192,1.2206,1.222,1.2234,1.2247,1.2367,1.2487,1.2608,1.2729,1.2819,1.2908,1.2999,1.309,1.3181,1.3273
2/27/2019,1.265,1.27,1.2599,1.2497,1.2447,1.2396,1.2409,1.2423,1.2436,1.2449,1.2583,1.2716,1.285,1.2985,1.3074,1.3164,1.3254,1.3345,1.3436,1.3528
2/28/2019,1.25,1.2701,1.265,1.2599,1.2548,1.2497,1.2523,1.255,1.2576,1.2602,1.2749,1.2896,1.3043,1.3191,1.328,1.337,1.346,1.3551,1.3642,1.3734
